1/5/2023 23:48:14 sad compró del NPC 1000 Poción Azul
1/5/2023 23:48:14 sad compró del NPC 1000 Poción Azul
1/5/2023 23:48:15 sad compró del NPC 1000 Poción Azul
1/5/2023 23:48:15 sad compró del NPC 1000 Poción Azul
1/5/2023 23:48:15 sad compró del NPC 1000 Poción Azul
1/5/2023 23:48:16 sad compró del NPC 1000 Poción Verde
1/5/2023 23:48:16 sad compró del NPC 1000 Poción Verde
1/5/2023 23:48:16 sad compró del NPC 1000 Poción Verde
1/5/2023 23:48:18 sad compró del NPC 1000 Poción Amarilla
1/5/2023 23:48:33 sad compró del NPC 1000 Poción Amarilla
1/5/2023 23:48:34 sad compró del NPC 1000 Poción Amarilla
1/5/2023 23:48:35 sad compró del NPC 1000 Poción Verde
1/5/2023 23:48:41 sad compró del NPC 1000 Poción Roja
1/5/2023 23:48:41 sad compró del NPC 1000 Poción Roja
1/5/2023 23:48:42 sad compró del NPC 1000 Poción Roja
1/5/2023 23:48:42 sad compró del NPC 1000 Poción Roja
2/5/2023 00:08:51 pizza paso a nivel 2 gano HP: 9
4/5/2023 23:21:00 Pizza paso a nivel 3 gano HP: 10
4/5/2023 23:21:02 Pizza paso a nivel 4 gano HP: 10
4/5/2023 23:23:24 Pizza paso a nivel 5 gano HP: 6
4/5/2023 23:23:45 Pizza paso a nivel 6 gano HP: 7
4/5/2023 23:24:03 Pizza paso a nivel 7 gano HP: 8
4/5/2023 23:24:26 Pizza paso a nivel 8 gano HP: 9
4/5/2023 23:24:43 Pizza paso a nivel 9 gano HP: 9
4/5/2023 23:24:51 Pizza paso a nivel 10 gano HP: 10
4/5/2023 23:25:02 Pizza paso a nivel 11 gano HP: 6
4/5/2023 23:25:28 Pizza paso a nivel 12 gano HP: 9
4/5/2023 23:25:46 Pizza paso a nivel 13 gano HP: 7
4/5/2023 23:26:57 Pizza paso a nivel 14 gano HP: 9
4/5/2023 23:27:54 Pizza paso a nivel 15 gano HP: 6
4/5/2023 23:29:34 Pizza paso a nivel 16 gano HP: 9
4/5/2023 23:39:58 PIZZA paso a nivel 17 gano HP: 7
4/5/2023 23:41:09 PIZZA paso a nivel 18 gano HP: 8
